date,position,song,artist,popularity
2023-04-23,9,Who the Hell Is Edgar?,TEYA,68
2023-04-23,10,Burning Daylight,Mia Nicolai,68
2023-04-23,11,My Sister's Crown,Vesna,67
2023-04-23,12,Future Lover,Brunette,63
2023-04-23,13,Because Of You,Gustaph,63
2023-04-23,14,Carpe Diem,Joker Out,62
2023-04-23,15,Samo mi se spava,Luke Black,62
2023-04-23,16,EAEA,Blanca Paloma,62
2023-04-23,17,Heart of Steel - Eurovision Version,TVORCHI,61
2023-04-23,18,Soarele si Luna,Pasha Parfeni,61
2023-04-23,19,Watergun,Remo Forrer,61
2023-04-23,20,Breaking My Heart,Reiley,61
2023-04-23,21,Ai Coração,Various Artists,60
2023-04-23,22,Bridges,ALIKA,60
2023-04-23,23,Break a Broken Heart,Andrew Lambrou,60
2023-04-23,24,Promise,Voyager,59
2023-04-23,25,Echo - Eurovision 2023 - Georgia,Iru,58
2023-04-23,26,POWER,Diljá,58
2023-04-23,27,Dance (Our Own Party),The Busker,58
2023-04-23,28,Aijā,Sudden Lights,58
2023-04-23,29,Mama ŠČ!,Let 3,58
2023-04-23,30,We Are One,Wild Youth,57
2023-04-23,31,Blood & Glitter,Lord Of The Lost,57
2023-04-23,32,Stay,Monika Linkyte,56
2023-04-23,33,What They Say,Victor Vernicos,56
2023-04-23,34,Tell Me More,TuralTuranX,55
2023-04-23,35,D.G.T (Off And On),Theodor Andrei,55
2023-04-23,36,Duje (Fest 61-live version),Albina dhe familja Kelmendi,52
2023-04-23,37,Like an Animal,Piqued Jacks,49
2023-04-24,1,Tattoo,Loreen,85
2023-04-24,2,Queen of Kings,Alessandra,80
2023-04-24,3,Due Vite,Marco Mengoni,79
2023-04-24,4,Cha Cha Cha,Käärijä,75
2023-04-24,5,I Wrote A Song,Mae Muller,71
2023-04-24,6,Évidemment,La Zarra,70
2023-04-24,7,Solo,BLANKA,70
2023-04-24,8,Unicorn,Noa Kirel,69
2023-04-24,9,Burning Daylight,Mia Nicolai,69
2023-04-24,10,Who the Hell Is Edgar?,TEYA,68
2023-04-24,11,My Sister's Crown,Vesna,67
2023-04-24,12,Future Lover,Brunette,63
2023-04-24,13,Because Of You,Gustaph,63
2023-04-24,14,Carpe Diem,Joker Out,62
2023-04-24,15,Samo mi se spava,Luke Black,62
2023-04-24,16,EAEA,Blanca Paloma,62
2023-04-24,17,Heart of Steel - Eurovision Version,TVORCHI,61
2023-04-24,18,Soarele si Luna,Pasha Parfeni,61
2023-04-24,19,Watergun,Remo Forrer,61
2023-04-24,20,Breaking My Heart,Reiley,61
2023-04-24,21,Ai Coração,Various Artists,60
2023-04-24,22,Bridges,ALIKA,60
2023-04-24,23,Break a Broken Heart,Andrew Lambrou,60
2023-04-24,24,Promise,Voyager,59
2023-04-24,25,Echo - Eurovision 2023 - Georgia,Iru,58
2023-04-24,26,POWER,Diljá,58
2023-04-24,27,Dance (Our Own Party),The Busker,58
2023-04-24,28,Aijā,Sudden Lights,58
2023-04-24,29,Mama ŠČ!,Let 3,58
2023-04-24,30,We Are One,Wild Youth,57
2023-04-24,31,Blood & Glitter,Lord Of The Lost,57
2023-04-24,32,Stay,Monika Linkyte,56
2023-04-24,33,What They Say,Victor Vernicos,56
2023-04-24,34,Tell Me More,TuralTuranX,55
2023-04-24,35,D.G.T (Off And On),Theodor Andrei,55
2023-04-24,36,Duje (Fest 61-live version),Albina dhe familja Kelmendi,52
2023-04-24,37,Like an Animal,Piqued Jacks,50
2023-04-25,1,Tattoo,Loreen,85
2023-04-25,2,Queen of Kings,Alessandra,80
2023-04-25,3,Due Vite,Marco Mengoni,79
2023-04-25,4,Cha Cha Cha,Käärijä,75
2023-04-25,5,I Wrote A Song,Mae Muller,71
2023-04-25,6,Évidemment,La Zarra,70
2023-04-25,7,Solo,BLANKA,70
2023-04-25,8,Unicorn,Noa Kirel,69
2023-04-25,9,Burning Daylight,Mia Nicolai,69
2023-04-25,10,Who the Hell Is Edgar?,TEYA,68
2023-04-25,11,My Sister's Crown,Vesna,67
2023-04-25,12,Future Lover,Brunette,63
2023-04-25,13,Because Of You,Gustaph,63
2023-04-25,14,Carpe Diem,Joker Out,62
2023-04-25,15,Samo mi se spava,Luke Black,62
2023-04-25,16,EAEA,Blanca Paloma,62
2023-04-25,17,Heart of Steel - Eurovision Version,TVORCHI,61
2023-04-25,18,Soarele si Luna,Pasha Parfeni,61
2023-04-25,19,Watergun,Remo Forrer,61
2023-04-25,20,Breaking My Heart,Reiley,61
2023-04-25,21,Ai Coração,Various Artists,60
2023-04-25,22,Bridges,ALIKA,60
2023-04-25,23,Break a Broken Heart,Andrew Lambrou,60
2023-04-25,24,Promise,Voyager,59
2023-04-25,25,Echo - Eurovision 2023 - Georgia,Iru,58
2023-04-25,26,POWER,Diljá,58
2023-04-25,27,Dance (Our Own Party),The Busker,58
2023-04-25,28,Aijā,Sudden Lights,58
2023-04-25,29,Mama ŠČ!,Let 3,58
2023-04-25,30,We Are One,Wild Youth,57
2023-04-25,31,Blood & Glitter,Lord Of The Lost,57
2023-04-25,32,Stay,Monika Linkyte,56
2023-04-25,33,What They Say,Victor Vernicos,56
2023-04-25,34,Tell Me More,TuralTuranX,55
2023-04-25,35,D.G.T (Off And On),Theodor Andrei,55
2023-04-25,36,Duje (Fest 61-live version),Albina dhe familja Kelmendi,52
2023-04-25,37,Like an Animal,Piqued Jacks,50
2023-04-26,1,Tattoo,Loreen,85
2023-04-26,2,Queen of Kings,Alessandra,80
2023-04-26,3,Due Vite,Marco Mengoni,79
2023-04-26,4,Cha Cha Cha,Käärijä,75
2023-04-26,5,I Wrote A Song,Mae Muller,71
2023-04-26,6,Évidemment,La Zarra,70
2023-04-26,7,Solo,BLANKA,70
2023-04-26,8,Unicorn,Noa Kirel,69
2023-04-26,9,Burning Daylight,Mia Nicolai,69
2023-04-26,10,Who the Hell Is Edgar?,TEYA,68
2023-04-26,11,My Sister's Crown,Vesna,68
2023-04-26,12,Future Lover,Brunette,63
2023-04-26,13,Because Of You,Gustaph,63
2023-04-26,14,Carpe Diem,Joker Out,62
2023-04-26,15,Samo mi se spava,Luke Black,62
2023-04-26,16,EAEA,Blanca Paloma,62
2023-04-26,17,Heart of Steel - Eurovision Version,TVORCHI,61
2023-04-26,18,Soarele si Luna,Pasha Parfeni,61
2023-04-26,19,Watergun,Remo Forrer,61
2023-04-26,20,Breaking My Heart,Reiley,61
2023-04-26,21,Ai Coração,Various Artists,60
2023-04-26,22,Bridges,ALIKA,60
2023-04-26,23,Break a Broken Heart,Andrew Lambrou,60
2023-04-26,24,Promise,Voyager,59
2023-04-26,25,Echo - Eurovision 2023 - Georgia,Iru,58
2023-04-26,26,POWER,Diljá,58
2023-04-26,27,Dance (Our Own Party),The Busker,58
2023-04-26,28,Aijā,Sudden Lights,58
2023-04-26,29,Mama ŠČ!,Let 3,58
2023-04-26,30,We Are One,Wild Youth,57
2023-04-26,31,Blood & Glitter,Lord Of The Lost,57
2023-04-26,32,Stay,Monika Linkyte,56
2023-04-26,33,What They Say,Victor Vernicos,56
2023-04-26,34,Tell Me More,TuralTuranX,55
2023-04-26,35,D.G.T (Off And On),Theodor Andrei,55
2023-04-26,36,Duje (Fest 61-live version),Albina dhe familja Kelmendi,52
2023-04-26,37,Like an Animal,Piqued Jacks,50
2023-04-27,1,Tattoo,Loreen,85
2023-04-27,2,Queen of Kings,Alessandra,80
2023-04-27,3,Due Vite,Marco Mengoni,79
2023-04-27,4,Cha Cha Cha,Käärijä,74
2023-04-27,5,I Wrote A Song,Mae Muller,71
2023-04-27,6,Évidemment,La Zarra,70
2023-04-27,7,Solo,BLANKA,70
2023-04-27,8,Unicorn,Noa Kirel,68
2023-04-27,9,Burning Daylight,Mia Nicolai,68
2023-04-27,10,Who the Hell Is Edgar?,TEYA,67
2023-04-27,11,My Sister's Crown,Vesna,67
2023-04-27,12,Future Lover,Brunette,63
2023-04-27,13,Because Of You,Gustaph,63
2023-04-27,14,Carpe Diem,Joker Out,62
2023-04-27,15,EAEA,Blanca Paloma,62
2023-04-27,16,Heart of Steel - Eurovision Version,TVORCHI,61
2023-04-27,17,Soarele si Luna,Pasha Parfeni,61
